asin,main_category,category,description,brand,imageURLHighRes
B00005N7PT,Science History Nature, Science History Nature Nature Ecology,Discover magazine provides a comprehensive look into the latest news in the world of science and the effect it has on our everyday lives Sure to satisfy the curiosity of your most inquisitive customers Discover is a must have magazine for your waiting room ,Kalmbach Publ Co,https://images-na.ssl-images-amazon.com/images/I/5145NDH7STL.jpg
B00005N7PR,Home Garden, Home Garden Design Decoration,Get caught up in a continuous stream of creative ideas for craft and home projects In each issue youll find pages of cost conscious quick and easy and holiday seasonal project ideas Each issue is filled with easy to follow instructions and patterns for every kind of needlework including cross stitch needlepoint quilting and crochet to kids stuff home decor gifts and more ,Grass Roots Publishing Co. Inc.,https://images-na.ssl-images-amazon.com/images/I/51vVILGV5%2BL.jpg
B00005N7OV,Home Garden, Home Garden Design Decoration,Better Homes Gardens offers beautiful photography and tons of fresh seasonal ideas for adding charm to your home Improve your curb appeal and make your space extra cozy with this longstanding guide to home decor ,Meredith,https://images-na.ssl-images-amazon.com/images/I/51mIU9OaysL.jpg
B00005N7QE,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Golf,The games most widely read publication GOLF Magazine reaches over 6 million golf enthusiasts every month Its mission is simply to provide the most enjoyable golfing experience to its readers ,Golf Magazine,https://images-na.ssl-images-amazon.com/images/I/51VkYIxIBpL.jpg
B00005N7RY,Travel City Regional, Travel City Regional United States West,Orange Coast is the premier local lifestyle magazine of the region bringing together Southern Californias most affluent coastal communities through smart fun and timely editorial content compelling photographs and quality advertising ,Hour Media Llc,https://images-na.ssl-images-amazon.com/images/I/51dX%2BelLgFL.jpg
B00005N7RJ,News Political Commentary, News Political Commentary Ideas Commentary,Mother Jones provides investigative reports national and international news and perspectives on politics culture and current controversies In addition it reports on the environment family national politics individual liberties personal choice and corporate and government power Mother Jones challenges conventional wisdom exposes abuses of power helps redefine stubborn problems and offers fresh solutions ,Foundation for National Progress,https://images-na.ssl-images-amazon.com/images/I/518XZSd9YWL.jpg
B00005N7S2,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hiking Camping,Outside covers the exciting active lifestyle of todays man Each month readers share the adventure with travel reporting and advice available nowhere else inspiring profiles breathtaking photography epic news from the frontiers of exploration and risk rock solid advice on gear health and fitness and an addictive quotient of daring and mind blowing surprises Outside is a 2013 winner of the National Magazine award for General Excellence and is a 5 time winner of this prestigious honor ,Outside,https://images-na.ssl-images-amazon.com/images/I/61r7%2BW3Qq2L.jpg
B00005N7QI,Fashion Style, Fashion Style Men,GQ helps you look sharp and live smart Each issue brings you revealing sports profiles intimate photos of todays hottest up amp coming actresses and models tips on fine food amp drink sex politics fashion and grooming advice The Style Guys answers to your questions and so much more!,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/51gGGNs8-1L.jpg
B00005N7O4,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Skiing Snowboarding,SNOW GOER is edited for the sport hard core enthusiasts Head to head comparisons product evaluations owners surveys and technical how to articles ,EPG Media Specialty Information,https://images-na.ssl-images-amazon.com/images/I/61HTC61ND4L.jpg
B00005N7RP,Health Fitness Wellness, Health Fitness Wellness Health,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/617CA8TO82L.jpg
B00005N7QW,Home Garden, Home Garden Design Decoration,Satisfy your passion for stylish living and practical ideas for updating every room in your home Find great ways to use todays best furnishings and accessories within our pages ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/51R-betQ5DL.jpg
B00005N7S5,Technology, Technology Computers Internet,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51wFybYp4vL.jpg
B00005N7QS,Business Investing, Business Investing Entrepreneurship,Start a Home Based Business Generate income part time or full time Expand an existing business Succeed and prosper working from home! Since 1994 HOME BUSINESS Magazines (HBM) has been the industry leader for home based entrepreneurs HBM editorial covers all areas of the home based business arena including marketing and sales business start up topics business diversification and expansion social media e commerce all types of businesses and opportunities home office set up and improvement business management and operations raising money and financial management telecommuting interviews with industry expert success stories and more! The magazine offers both print and digital version advertising to reach the best prospect for your advertising investment Home Business Magazine is your one stop shop to keep up on the world of home business ,Home Business Magazine,https://images-na.ssl-images-amazon.com/images/I/51G6DTMAE3L.jpg
B00005N7Q1,Home Garden, Home Garden How-to Home Improvements,Tackle any home improvement project or repair with help from The Family Handyman Guarantee success with step by step instructions and how to photos plus save time and money with handy hints workshop tips and new product reviews No matter how little experience you have The Family Handyman makes it easy! Family Handyman publishes 11 issues per year which includes a special issue that counts as 2 issues in your subscription ,Trusted Media Brands Inc,https://images-na.ssl-images-amazon.com/images/I/61b2o7v2AyL.jpg
B00005N7RV,Entertainment Pop Culture, Entertainment Pop Culture Movies,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/61%2BZwRthtwL.jpg
B00005N7RD,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Training,Mens Health is an essential read for guys who want to look better feel better and live better But Mens Health isnt just a magazine Its the solution for every bit of chaos confusion or suffering that the world can inflict on the male of the species Belly fat Fatheaded bosses Exercise plateaus Exercise excuses Her boredom His boredom The fast food menu The wine list We give men the tools strategies and motivation to handle all of this and more ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/51d2BVxdoML.jpg
B00005N7RT,News Political Commentary, News Political Commentary,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51dj4ustgeL.jpg
B00005N7T1,Professional Educational Journals, Professional Educational Journals Professional Trade Arts Crafts Collectibles,Teddy Bear Friends is an art magazine for adult teddy bear collectors Content includes artist and manufacturer profiles secondary market pricing convention coverage and calendars and crafting patterns and tips Along with coverage of collectible teddy bears attention is given to other plush animals (friends) and to miniature teddy bears Teddy Bear Friends sponsors the TOBY program an annual awards program in which plush creations are judged first by industry experts and then readers honors the best of artist and manufactured teddy bears and friends in the industry While Teddy Bear Friends is mainly a consumer publication it is also read as a trade magazine by retailers artists show promoters and other members of the bear industry ,JP Media LLC,https://images-na.ssl-images-amazon.com/images/I/61ZV8S5249L.jpg
B00005N7T3,Travel City Regional, Travel City Regional United States South,Texas Monthly has been the authority on the Texas scene since 1973 covering music arts travel restaurants and events with its insightful recommendations Above all Texas Monthly provides its readers with a magazine of the highest editorial quality a standard that has earned it 9 National Magazine Awards the industrys most coveted prize ,Texas Monthly,https://images-na.ssl-images-amazon.com/images/I/51kp3GOyLyL.jpg
B00005N7RO,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Training,This is a lifestyle magazine for men and women interested in building their bodies and minds It contains advice on getting in shape and staying fit Each issue includes articles on exercise routines diet nutrition sexual fitness psychology sports medicine kinesiology physiology weight control and personal appearance ,American Media Inc.,https://images-na.ssl-images-amazon.com/images/I/61GzwKLdLDL.jpg
B00005N7OJ,Home Garden, Home Garden Antiques Collectibles,The Magazine Antiques brings you the fascinating worldsof architecture interior design and fine and decorative artsfrom the dawn of civilization to the modern era Youll learn about private collections and museums around the world that highlight the latest trends in collectingand decorating with antiques ,Brant Publications,https://images-na.ssl-images-amazon.com/images/I/51XpCRGsNIL.jpg
B00005N7SM,Fashion Style, Fashion Style Beauty,Seventeen is a general service magazine for young women emphasizing fashion beauty and lifestyle information including health food careers relationships sports and entertainment ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61tu5M2x5CL.jpg
B00005N7SC,Science History Nature, Science History Nature Essays Commentary,The Whats New magazine of science and technology Covering the latest developments in cars electronics communications tools energy aviation science space exploration and much more ,Bonnier Corporation,https://images-na.ssl-images-amazon.com/images/I/61yZtotuBpL.jpg
B00005N7PL,Cooking Food Wine, Cooking Food Wine Recipes Techniques,Turn to Cookbook Digest every cooks #1 guide to the latest cookbooks on the market In each issue youll find in depth analyses of the newest cookbooks to hit the bookstores plus a sampling of the delicious recipes You can then try the recipes to see if you want to invest in the cookbook From low fat baking and vegetarian delights to great grillables to regional and ethnic cuisine Cookbook Digest delivers the best in incredible edibles!,Grass Roots Publishing Co. Inc.,https://images-na.ssl-images-amazon.com/images/I/51HYM0WvIjL.jpg
B00005N7TM,Fashion Style, Fashion Style Women,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51QkUw1nFPL.jpg
B00005N7UG,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Water Sports,brLeading forum for critical doscourse in psychoanalytic theory and clinical practise and their application to art literature history and the creative process br,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/51ZHDCC3Z6L.jpg
B00005N7QN,Fashion Style, Fashion Style Women,Harpers BAZAAR the fashion authority brings you the latest new looks from the hottest designers Youll get 12 beautiful issues a year full of best dressed secrets must haves and great finds Experience the best in style and beauty with Harpers BAZAAR ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61zX2IXs4KL.jpg
B00005N7SA,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,Popular Mechanics is for people who have a passion to know how things work Its about how the latest advances in science and technology will impact your home your car consumer electronics computers even your health Popular Mechanics answers for curious minds ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61FLKBHY3CL.jpg
B00005N7VK,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,The only magazine exclusively devoted to telling the full story of this controversial and divisive conflict Gripping firsthand accounts and carefully researched articles by both veterans and historians will broaden your understanding of what really happened beyond the misconceptions ,History Net,https://images-na.ssl-images-amazon.com/images/I/61F37FJ1FWL.jpg
B00005N7TE,Arts Music Photography, Arts Music Photography Music,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51Kuj4o1YTL.jpg
B00005N7TG,Fashion Style, Fashion Style Women,Vogue is the fashion authority Setting the standard for over 100 years has made Vogue the best selling fashion magazine in the world Each issue delivers the latest in beauty style health fitness and celebrities and your subscription will include the must have Spring and Fall Fashion editions Before its in fashion its in Vogue!,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/61IiTu57neL.jpg
B00005N7QA,Business Investing, Business Investing Business Management,Forbes focuses on top management and those aspiring to positions of corporate leadership in business This insider publication features information on successful companies and individuals industries marketing law taxes technology computers communications investments management performance,Forbes,https://images-na.ssl-images-amazon.com/images/I/51o5EUGpVhL.jpg
B00005N7SS,Business Investing, Business Investing Finance,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51PoEL9pNyL.jpg
B00005N7SV,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,SPORT FISHING focuses on saltwater fishing and is edited for the active sport fisherman Regular features include hands on techniques for improving inshore and offshore fishing performance in depth reviews of boats and engines marine electronics equipment updates the latest in fishing gear location scouting for the worlds top sport fishing waters reports on saltwater marine life ,Bonnier Corporation,https://images-na.ssl-images-amazon.com/images/I/51ErCWYleZL.jpg
B00005N7OU,Arts Music Photography, Arts Music Photography Music,Bass Player magazine is written for serious musicians who play electric and acoustic bass Each issue of Bass Player magazine features technique how to articles musician interviews and reviews of equipment instructional videos books and CDs ,New Bay Media LLC,https://images-na.ssl-images-amazon.com/images/I/61OFPTFUrEL.jpg
B00005N7TB,Entertainment Pop Culture, Entertainment Pop Culture Movies,This magazine covers film video television and contemporary music It provides in depth editorials on top personalities events and developments current in the world of entertainment ,American Media Inc.,https://images-na.ssl-images-amazon.com/images/I/61mwR6lWU7L.jpg
B00005N7S8,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Flying,This magazine is edited for the active and or beginning piston engine pilot Its coverage includes light single engine to medium weight piston engine planes and related products Its editorial content emphasizes aircraft ownership justification aircraft financing maintenance modification pilot proficiency adventure flying to destinations as well as information for the entry level individual who is interested in an aviation career ,Madavor Media LLC,https://images-na.ssl-images-amazon.com/images/I/51cVSs26CYL.jpg
B00005N7U1,Cooking Food Wine, Cooking Food Wine Special Diet,Get fresh ideas and inspiration on how to make the healthy life truly irresistible Health covers its readers many interests including cutting edge health advice natural beauty moves home remedies that work celebrity weight loss secrets healthy travel organic and low fat food new time saving workouts body flattering fashion and much more ,Meredith Corporation,https://images-na.ssl-images-amazon.com/images/I/51aFAek3VcL.jpg
B00005N7WH,Travel City Regional, Travel City Regional United States West,The business publication for the Colorado amp Rocky Mt regions Colorado Biz lets you in on whats happening on the whole states business scene The movers The shakers The data The winners The losers ,Wiesner Media LLC,https://images-na.ssl-images-amazon.com/images/I/514HJ-3Y69L.jpg
B00005N7QL,Arts Music Photography, Arts Music Photography Music,GUITAR PLAYER is a magazine for serious guitarists who want to make the most out of their playing and keep informed on developments in equipment and instruments Editorial emphasizes stylistic diversity in coverage of music and leading and up and coming guitarists Features include instructional columns how to advice honest equipment reviews recording song writing record reviews and career information ,New Bay Media LLC,https://images-na.ssl-images-amazon.com/images/I/51Kt0nlE26L.jpg
B00005N7PS,Fashion Style, Fashion Style Men,Details sets the trends that get people talking breaking the stories that keep you in the know ahead of the crowd and at the forefront of the hottest fashion celebrities movies music ideas technology and issues of the day long before everyone else!,Cond Nast Publications,https://images-na.ssl-images-amazon.com/images/I/51h6EkBIroL.jpg
B00005N7SB,Arts Music Photography, Arts Music Photography Photography,Ready to take better pictures? Want to buy smart when it comes to digital and film cameras lenses printers and other essential gear? Popular Photography Imaging is packed with great photos how to tips lab tests of the latest equipment and expert advice on getting the most out of every shot ,Bonnier Corpiration,https://images-na.ssl-images-amazon.com/images/I/61ZVahuTVFL.jpg
B00005N7VS,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Extreme Sports,Written for auto racing enthusiasts both racers and fans Each issue is filled with advanced level theory and illustrated how to articles on racing engines chassis and high performance oval track technology Also includes coverage of all the latest racing events plus racing information ,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/61VMenmekSL.jpg
B00005N7PA,Travel City Regional, Travel City Regional United States Midwest,Produced by the city s best magazine editors and writers Chicago magazine offers an award winning combination of journalism and provocative narrative stories knit together with a colorful and elegant design ,Chicago,https://images-na.ssl-images-amazon.com/images/I/519Hs04SsjL.jpg
B00005N7TX,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Running,Offers runners training advice nutrition and sports medicine tips and a calendar of upcoming events Features present general interest and information on running health and fitness cross training and worldwide coverage of events and personalities ,Rodale Inc.,https://images-na.ssl-images-amazon.com/images/I/51G49MBik%2BL.jpg
B00005N7YB,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hiking Camping,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51LZ85iQuyL.jpg
B00005N7UC,Cooking Food Wine, Cooking Food Wine,CIGAR AFICIONADO is edited for successful extremely affluent men It covers information on fine cigars plus lifes other great pleasures fine dining and entertaining the finest wines and spirits world travel and the arts ,Shanken Communications,https://images-na.ssl-images-amazon.com/images/I/51YKKE5914L.jpg
B00005N7XG,Technology, Technology Electronics,Sound Vision is for people with a interest in video and music Covers new technologies and explains how to buy and use equipment ,Avtech Media,https://images-na.ssl-images-amazon.com/images/I/51%2Bzyh4G36L.jpg
B00005N7T6,Travel City Regional, Travel City Regional United States,The Saturday Evening Post delivers in depth insightful coverage of American life Readers enjoy timely features and uplifting stories along with reliable medical advice financial know how and lifestyle tips Every issue promises celebrated fiction light hearted humor cartoons and more!,The Saturday Evening Post,https://images-na.ssl-images-amazon.com/images/I/61Wet6t9k0L.jpg
B00005N7XH,Travel City Regional, Travel City Regional United States South,Charlotte magazine keeps readers informed entertained and involved every month of the year with timely well written features and resources Readers rely on Charlotte magazine for information to enhance their modern lifestyles while getting the best out of what our city has to offer ,Morris Visitor Publications LLC,https://images-na.ssl-images-amazon.com/images/I/51ybvcq7mNL.jpg
B00005N7SD,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Psychology,Psychology Today magazine is the only magazine devoted to exploring human behavior Psychology Today takes information from the latest research in the field of psychology and makes it useful to people in their everyday live ,Sussex Publishers Inc,https://images-na.ssl-images-amazon.com/images/I/513kQKXOqmL.jpg
B00005N7WA,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,The Voice of Marine Fishing covering ocean boating and sailing from a fishing perspective with a major emphasis on marine conservation ,Bonnier Corporation,https://images-na.ssl-images-amazon.com/images/I/51vJlZZ2hlL.jpg
B00005N7RA,Fashion Style, Fashion Style Women,Marie Claire offers solutions for the woman whose time constraints demand one resource to respond to diverse aspects of her life From global and cultural issues to fashion and beauty coverage Marie Claire is for the woman of substance with an eye for style ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/51BK2HyR03L.jpg
B00005N7T8,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Political Science,Serves as a forum for the exchange of conservative ideas Also contains investigative reports late breaking news opinions and commentary ,Weekly Standard,https://images-na.ssl-images-amazon.com/images/I/5161u9Z0L8L.jpg
B00005N7TL,Science History Nature, Science History Nature Technology,WIRED uncovers the most surprising and resonant stories about the people companies technologies and ideas that are transforming our lives Whether its technology business global politics new media arts and culture the environment or the best new products WIRED is there on the front lines of the 21st Century Find out whats next with WIRED!,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/41WSNYAPayL.jpg
B00005N7Q2,Parenting Families, Parenting Families,What does family fun mean to you? Crafts? Recipes? Party ideas? Travel tips? FamilyFun magazine dishes up these and more boredom defying activities in over 180 splashy colorful pages Geared toward parents with young children this energetic magazine promises to enrich the lives of families Offering a weve been there we know sort of comfort to parents folksy first person articles let parents know theyre not alone ,Meredith,https://images-na.ssl-images-amazon.com/images/I/51nEkq2ZXNL.jpg
B00005N7T5,Travel City Regional, Travel City Regional United States Northeast,Week after week The New Yorker keeps its reader current Subscribe now and dont miss the New Yorkers famous fiction and poetry book and film review its incisive looks at politics people and the way we live and of course those CARTOONS In depth reporting surprising opinions sharp wit the best in prose poetry and the visual arts can all be yours for just $1 an issue!,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/51GMUhM2FNL.jpg
B00005N7VD,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,Coverage of the strategies leaders and battles of the Civil War Facts and facets of the war are accompanied by classical artwork paintings by todays artists photography illustrations and of battles and campaigns ,History Net,https://images-na.ssl-images-amazon.com/images/I/51GUu3dX0bL.jpg
B00005N7SN,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Training,Fitness magazine is the authority for women who want to lead an active healthy lifestyle Fitness inspires women with personalized workout guides timely health nutrition advice and beauty style tips to achieve balance in mind body and spirit ,Meredith,https://images-na.ssl-images-amazon.com/images/I/51k9ov%2BuR7L.jpg
B00005N7R5,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Economics Economic Theory,KIPLINGERS PERSONAL FINANCE MAGAZINE provides affluent readers with the information they need to make smart decisions about their money Each issue includes intelligent reporting on investments taxes insurance paying for college planning for retirement home ownership major purchases such as cars and computers and other personal finance topics ,Kiplinger Washington Editors,https://images-na.ssl-images-amazon.com/images/I/516kQ9Auk5L.jpg
B00005N7XT,Cooking Food Wine, Cooking Food Wine Special Diet,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51jcF7KIPQL.jpg
B00005N7SG,Fashion Style, Fashion Style Women,Redbook is the must read magazine for todays young married woman an individual as passionate about her own needs as she is about those of her family Each issue offers exciting provocative features that address the all aspects of her lifeeverything from stylish fashion and beauty portfolios to scintillating stories on keeping her marriage fresh to ideas on balancing home and career demands ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/5136S7vFBlL.jpg
B00005N7XY,Business Investing, Business Investing,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51%2BPzoOFmrL.jpg
B00005N7RF,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,MHQ The Quarterly Journal of Military History takes you on an exciting journey to the worlds greatest battles and campaigns over the last 5 000 years from ancient warfare through modern times Written by distinguished authors and historians who bring the world of history alive ,History Net,https://images-na.ssl-images-amazon.com/images/I/51QKN0n2R4L.jpg
B00005N7RQ,Science History Nature, Science History Nature Nature Ecology,Fascinating reading and spectacular photography of the natural world ,Natural History Magazine Inc,https://images-na.ssl-images-amazon.com/images/I/51YqBCI7%2BSL.jpg
